beta_norm_mean,Market Sharpe Ratio,Expected Return,Volatility,R2,SR,IR,Alpha,Precision,Recall,Accuracy,feature_complexity_ratio,param_complexity_ratio,n_params,hidden_size,train_window,num_layers,dropout,seq_len
8.186998572278151,0.6361514499216312,0.6827064112532811,3.7487385366723096,-0.9023759275760967,0.1821163051449589,0.1707143239660931,0.053330280417804535,0.6079632465543645,0.6117103235747303,0.5347985347985348,1.1666666666666667,514.75,6177,32,12,1,0.1,12
10.534521483091778,0.6361514499216312,0.6901899795266921,3.770956806449631,-0.9073915976588816,0.1830278136164886,0.1730436497040155,0.05437834405535358,0.6110260336906586,0.6147919876733436,0.5384615384615384,1.1666666666666667,1712.0833333333333,20545,64,12,1,0.1,12
14.123882484433334,0.6361514499216312,0.6764070093620832,3.7762198715370503,-0.9063929827999702,0.17912278214000354,0.17097351385866655,0.05380279837830099,0.6123076923076923,0.613251155624037,0.5393772893772893,1.1666666666666667,6154.75,73857,128,12,1,0.1,12
9.402547801986636,0.6724513096819877,0.38045799979974493,3.279993159516041,-0.6783379201501323,0.11599353452794427,0.0346953465531613,0.00948337494678396,0.5918674698795181,0.6140625,0.5149812734082397,0.3888888888888889,171.58333333333334,6177,32,36,1,0.1,12
12.562272961340497,0.6724513096819877,0.3149227799996428,4.098124246941575,-1.1112785582113154,0.0768455910614885,0.007058615227359367,0.0024105901844227035,0.603448275862069,0.6015625,0.5243445692883895,0.3888888888888889,570.6944444444445,20545,64,36,1,0.1,12
16.9059630497021,0.6724513096819877,0.2565775689300174,4.504368379479746,-1.4233476374753113,0.05696194167841398,0.008632454032606558,0.0032403127484821152,0.6039279869067103,0.5765625,0.5196629213483146,0.3888888888888889,2051.5833333333335,73857,128,36,1,0.1,12
9.484101731864078,0.6781657446624462,0.6591828627936027,2.6745026342781473,-0.377011314665322,0.24646932642544106,0.11306279070019468,0.025198894297209118,0.6011994002998501,0.6385350318471338,0.5277777777777778,0.23333333333333334,102.95,6177,32,60,1,0.1,12
12.783326700980115,0.6781657446624462,0.615669485003098,3.3827951908415717,-0.6524735170628753,0.18200022474607214,0.08511003617442034,0.023992485088598442,0.6198473282442748,0.6464968152866242,0.5488505747126436,0.23333333333333334,342.4166666666667,20545,64,60,1,0.1,12
17.66839986692222,0.6781657446624462,0.2660569775153018,3.8845265575676367,-0.9867992931056537,0.06849148115540184,0.005997745488984828,0.0019415334697910833,0.5993640699523053,0.6003184713375797,0.5181992337164751,0.23333333333333334,1230.95,73857,128,60,1,0.1,12
12.571087779830618,0.6361514499216312,0.6806549734134048,3.8528234112618653,-0.9595291611369829,0.17666394245421144,0.16730086058401228,0.053715056031861656,0.6120556414219475,0.6101694915254238,0.5384615384615384,1.1666666666666667,1218.75,14625,32,12,2,0.1,12
16.970709783527354,0.6361514499216312,0.6816332773323898,3.8504668720284676,-0.9567887156792749,0.17702613734559883,0.16846986587970092,0.05405730312540562,0.6117103235747303,0.6117103235747303,0.5384615384615384,1.1666666666666667,4485.416666666667,53825,64,12,2,0.1,12
23.445165351439805,0.6361514499216312,0.681351167647471,3.852626585301831,-0.9574134209034224,0.17685367438591015,0.1685094133920616,0.054100320492322745,0.6123076923076923,0.613251155624037,0.5393772893772893,1.1666666666666667,17162.75,205953,128,12,2,0.1,12
13.598247982976522,0.6724513096819877,0.43202777175083107,3.354555842263185,-0.711449881393913,0.1287883678392902,0.06551462700611371,0.01831437289808768,0.6032689450222882,0.634375,0.5308988764044944,0.3888888888888889,406.25,14625,32,36,2,0.1,12
18.680502224160755,0.6724513096819877,0.28101191225359856,4.073779252805781,-1.0768873266641963,0.06898064298895283,0.00026025436450757296,8.835156921525866e-05,0.5909090909090909,0.5890625,0.5093632958801498,0.3888888888888889,1495.138888888889,53825,64,36,2,0.1,12
26.066075566395366,0.6724513096819877,0.07749948656332172,4.528727251231356,-1.3579438478870092,0.017112862458707287,-0.026359179635651698,-0.009947794594673206,0.5909090909090909,0.56875,0.5056179775280899,0.3888888888888889,5720.916666666667,205953,128,36,2,0.1,12
13.806324059307734,0.6781657446624462,0.7429310526224217,2.95403589388124,-0.4675704912911314,0.251496961889079,0.14628154639797267,0.0360100782226721,0.6103896103896104,0.6735668789808917,0.5450191570881227,0.23333333333333334,243.75,14625,32,60,2,0.1,12
19.201228227870338,0.6781657446624462,0.48699621481175026,3.4274337108727484,-0.7005077186689845,0.14208771223404448,0.05406843235489872,0.015442997312268555,0.6033950617283951,0.6226114649681529,0.5268199233716475,0.23333333333333334,897.0833333333334,53825,64,60,2,0.1,12
27.308123939417293,0.6781657446624462,0.5393310915404944,3.8163863911584164,-0.9524897632489309,0.14131983406868484,0.09356823200520666,0.02975771060578534,0.598705501618123,0.589171974522293,0.5153256704980843,0.23333333333333334,3432.55,205953,128,60,2,0.1,12
18.480103350895533,0.6361514499216312,0.6826453206734965,3.861160821628648,-0.9658012052913096,0.17679795072238272,0.1683826820619821,0.05417938458487319,0.6111111111111112,0.6101694915254238,0.5375457875457875,1.1666666666666667,2626.75,31521,32,12,4,0.1,12
25.372374424610577,0.6361514499216312,0.6864583900118122,3.8652044907151133,-0.9650954616763856,0.1775995013099057,0.16897813147011334,0.054427919382577565,0.613251155624037,0.613251155624037,0.5402930402930403,1.1666666666666667,10032.083333333334,120385,64,12,4,0.1,12
35.35880142535986,0.6361514499216312,0.6906927550266078,3.8611647439868366,-0.9624068531998609,0.17888196977408288,0.17025862314789936,0.05478304942153418,0.6117103235747303,0.6117103235747303,0.5384615384615384,1.1666666666666667,39178.75,470145,128,12,4,0.1,12
19.30428302091095,0.6724513096819877,0.7133081812687782,3.0251800674781264,-0.4618726944865903,0.23579032168601174,0.17779360336852906,0.04482147208629883,0.6251830161054173,0.6671875,0.5608614232209738,0.3888888888888889,875.5833333333334,31521,32,36,4,0.1,12
26.6288253063999,0.6724513096819877,0.47447191514981857,3.5787768604479684,-0.6809292685939898,0.13257935145205652,0.10219350869494762,0.0304773136837889,0.6119186046511628,0.6578125,0.5449438202247191,0.3888888888888889,3344.027777777778,120385,64,36,4,0.1,12
37.20052702948439,0.6724513096819877,0.48961151373966627,3.941660599098924,-0.8916304410003353,0.12421452873227923,0.09383845884772896,0.030823279660021588,0.6005961251862891,0.6296875,0.5271535580524345,0.3888888888888889,13059.583333333334,470145,128,36,4,0.1,12
19.46551629404452,0.6781657446624462,0.7146043285213837,2.674615202736341,-0.3770600448634722,0.26718023878361546,0.1491304809720748,0.03323888763327448,0.604075691411936,0.660828025477707,0.5354406130268199,0.23333333333333334,525.35,31521,32,60,4,0.1,12
26.916620690799565,0.6781657446624462,0.5252193206458751,3.078237835535711,-0.52178724080244,0.1706233724316725,0.0921047095079431,0.023626683469864677,0.5956834532374101,0.6592356687898089,0.5258620689655172,0.23333333333333334,2006.4166666666667,120385,64,60,4,0.1,12
37.86392769032731,0.6781657446624462,0.5773673820664861,3.3733750455714633,-0.6181560146623173,0.17115422218601184,0.10063639149035947,0.02829035764416158,0.6008836524300442,0.6496815286624203,0.5296934865900383,0.23333333333333334,7835.75,470145,128,60,4,0.1,12
