date,jkp_accruals,jkp_debt_issuance,jkp_investment,jkp_low_leverage,jkp_low_risk,jkp_momentum,jkp_profit_growth,jkp_profitability,jkp_quality,jkp_seasonality,jkp_short_term_reversal,jkp_size,jkp_value
1926-01-01,,,,,,,,,,,,0.0188823593768865,
1926-02-01,,,,-0.0305703087229594,0.0333849987462921,,,,,-0.0021122689300749,0.0004222591257567,-0.0243208599161526,
1926-03-01,,,,-0.0752933138063399,0.0460377677963539,,,,,0.0026300538710575,-0.0296425019964213,-0.0498402491750095,
1926-04-01,,,,-0.0052094862463163,-0.0044216277074222,-0.0093250438427232,,0.0060555835142684,,0.0087370216597604,0.0016513583842596,-0.001319155393848,
1926-05-01,,,,-0.0101703801489328,0.0025514330380863,0.0184112174078378,,-0.0007165366992602,,-0.0018318678521,-0.0091910457908876,-0.0044376819078287,
1926-06-01,,,,-0.0005582103941884,-0.017974374260389,-0.0354253942282815,,0.0155809233330326,,-0.0099104626120728,0.0206703658095289,-0.0120649242680215,
1926-07-01,,,,0.0010679955028829,-0.0008833364685515,-0.012577094403215,,0.0278823318792084,,-0.0003064044720321,-0.0021810913343179,-0.0122983469459945,
1926-08-01,,,,-0.0203906227008566,0.0193121240728819,0.018323588985855,,0.005391102686993,,0.0076880961091478,0.0171741537796726,-0.0017936110547614,
1926-09-01,,,,-0.0088854954998795,0.0165943744669904,0.0295210084120065,,-0.0107090632375991,,0.0083993318582809,-0.0008690547359875,-0.0104153506063022,
1926-10-01,,,,-0.0155721388294494,0.0250950323505601,0.0155388405106078,,-0.0237208120795535,,0.0088588795535051,-0.0086033852560976,-0.0011023732762127,
1926-11-01,,,,-0.013935095878318,0.0026452216052238,0.0102984930283274,,0.0093839062878128,,0.0163036354295929,0.0172117286334934,-0.0103224774203475,
1926-12-01,,,,0.0010808208768044,-0.0043907150370042,-0.0097384439615479,,0.0156328039449144,,0.0079747319279804,0.0100948187440511,-0.006844962276733,0.0065259232294525
1927-01-01,,,,-0.0022376294075109,0.0014212839547604,0.0116160017695902,0.0013443821099824,-0.00992762873033,-0.0018371372649628,-0.0110673285298359,-0.003509507070073,0.0113002856677158,-0.0042953943971516
1927-02-01,,,,0.0060238956798516,-0.0252706123712713,-0.0021051941348306,-0.0284133307847616,0.0052382714422521,-0.0280860737599768,-0.0040872572224024,-0.0048384122791812,-0.0047675893429803,-0.0168002581937499
1927-03-01,,,,-0.009769033199843,0.0319813603786582,0.0340232421963277,0.0358046872630802,-0.0119296318123705,0.0450255108775086,0.0106568492616238,-0.0044043397678624,-0.0173511573611052,0.0132231423892446
1927-04-01,,,,-0.0113841276232705,0.0076520535127912,0.0275674451329887,0.0117223980826858,0.002745478224421,0.0237029015754852,0.0066510519196544,-0.0177946783248899,-0.0149308609175836,-0.0051813306611194
1927-05-01,,,,0.0041075537681553,-0.0035157477183635,0.0369401546261898,0.0096689737260059,-0.0014281636221501,0.0431910566615693,0.0135933698960913,-0.0070528063659393,-0.0089495788138573,-0.0160297113602484
1927-06-01,,,,0.01085048813873,0.0115688072869224,0.0162100775498,1.00944136402e-05,-0.0211559185914241,0.0121660130446085,-0.0021580632887156,0.0008119990548182,0.0084068628942319,-0.001013508068937
1927-07-01,,,,-0.0256630263748376,0.0039210442277219,0.0175526059785543,0.0205166074200171,0.027239722366367,0.0172257515831573,0.0030339320061384,0.0080139832582383,-0.0237409814757864,0.0085552116634084
1927-08-01,,,,-0.0055740164120198,0.0125647196924939,-0.0046400603345082,-0.0006970472939741,-0.00762832202964,-0.0108314536884915,2.35909635484e-05,-0.0009930506335819,0.0007960254663617,0.0162962803503875
1927-09-01,,,,0.0023319661683065,-0.0071872424461486,0.0287899681478992,0.0076915254826358,0.0245564602973248,0.0222801216871292,0.0006312744422225,-0.0066508899724095,-0.0241380249098032,-0.0120151818460014
1927-10-01,,,,-0.0091042731556769,0.0353179061216044,0.0007327787828395,0.0190074274664849,-0.0355492340078959,-0.0085194260773889,0.0117765539807373,-0.0014430338337013,0.0172650484683999,0.0059557350218866
1927-11-01,,,,0.0097799999263198,-0.0250573115217316,0.0042915890709975,-0.0134701015198383,0.0128228587715912,0.0007254306388352,0.0094582613889079,-0.0008292602024166,0.0094809344655191,0.0078411352654187
1927-12-01,,,,0.0022802795448922,-0.0061908950424015,0.0137025934640716,0.0047305231823808,0.0078307731645009,0.0138857308053804,0.0216260191691778,0.0042456749748932,0.001391071494908,0.0074166181901858
1928-01-01,,,,0.0026144542437124,0.0119922621527856,0.0120232313544508,0.0150539122720758,-0.0093633535818496,0.0135484326290489,-0.020062217139403,-0.0007690564327793,0.0144746487583844,-0.0095922386707297
1928-02-01,,,,-0.0023640764673924,0.0152523479959922,-0.0060079988606014,-0.0219775430664096,-0.0079384222803597,-0.0111391605358113,0.0055971101285471,0.00544236625561,0.0013434223466283,0.0106237303468049
1928-03-01,,,,0.0088352594871617,-0.0365458656579652,0.0303010114528628,-0.0153848881264055,0.0257381231652957,0.0337156909796745,0.0036196115263066,-0.0013890191520956,-0.0065937955829734,-0.0244926700000775
1928-04-01,,,,0.0281027146739229,0.0002450248463001,-0.0103851573310158,-0.0400423406918521,-0.0128440567719322,-0.0406794787665956,-0.0283737826687922,-0.0146044645714683,0.0559560056869085,-0.0280005194029035
1928-05-01,,,,0.0129295359611943,-0.0029471159363647,0.0272486074503248,0.002632808309628,0.0083139459859503,0.027776803400415,-0.0068533455850753,0.0124472437367211,0.0059685226725207,0.0067054066758451
