date,wg_dp,wg_dy,wg_ep,wg_de,wg_bm,wg_ntis,wg_tbl,wg_lty,wg_ltr,wg_infl,wg_svar,wg_dfy,wg_dfr,wg_tms,wg_mkt_lag1
1871-01-01,-2.837728024410743,,-2.4069451083182885,-0.4307829160924542,,,,,,,,,,,
1871-02-01,-2.8511510447428834,-2.837728024410743,-2.4203681286504293,-0.4307829160924542,,,,,,,,,,,
1871-03-01,-2.8753015049751665,-2.8511510447428834,-2.4445185888827123,-0.4307829160924542,,,,,,,,,,,0.013513513513513375
1871-04-01,-2.9031107836735943,-2.8753015049751665,-2.47232786758114,-0.4307829160924542,,,,,,,,,,,0.02444444444444449
1871-05-01,-2.928112085879012,-2.9031107836735943,-2.4973291697865574,-0.4307829160924542,,,,,,,,,,,0.02819956616052055
1871-06-01,-2.9198475760291185,-2.928112085879012,-2.489064659936664,-0.4307829160924542,,,,,,,,,,,0.025316455696202445
1871-07-01,-2.900998850470451,-2.9198475760291185,-2.470215934377997,-0.4307829160924542,,,,,,,,,,,-0.008230452674897082
1871-08-01,-2.9136040593894332,-2.900998850470451,-2.4828211432969787,-0.4307829160924542,,,,,,,,,,,-0.018672199170124415
1871-09-01,-2.9239883686951496,-2.9136040593894332,-2.4932054526026954,-0.4307829160924542,,,,,,,,,,,0.012684989429175397
1871-10-01,-2.8709536720390627,-2.9239883686951496,-2.4401707559466086,-0.4307829160924542,,,,,,,,,,,0.010438413361169019
1871-11-01,-2.881788014204773,-2.8709536720390627,-2.451005098112319,-0.4307829160924542,,,,,,,,,,,-0.051652892561983466
1871-12-01,-2.9031107836735943,-2.881788014204773,-2.47232786758114,-0.4307829160924542,,,,,,,,,,,0.01089324618736387
1872-01-01,-2.9154996503922757,-2.8904983481868585,-2.4910986200359213,-0.42440103035635446,,,,,,,,,,,0.02155172413793105
1872-02-01,-2.9067760676592242,-2.902669285706571,-2.489013431740654,-0.41776263591857066,,,,,,,,,,,0.025316455696202445
1872-03-01,-2.9267394020670396,-2.894478539848818,-2.515120428384497,-0.4116189736825425,,,,,,,,,,,0.00411522633744843
1872-04-01,-2.9419902423195063,-2.914591268131392,-2.5364031755551752,-0.4055870667643311,,,,,,,,,,,0.032786885245901676
1872-05-01,-2.9296264484606485,-2.9296264484606485,-2.5303241294787933,-0.3993023189818554,,,,,,,,,,,0.02777777777777768
1872-06-01,-2.9080713349955656,-2.917770732084279,-2.514582417934117,-0.3934889170614485,,,,,,,,,,,0.0
1872-07-01,-2.8904894118759463,-2.8963545313283445,-2.502711274421507,-0.38777813745443934,,,,,,,,,,,-0.009652509652509633
1872-08-01,-2.86672498817609,-2.878559445823093,-2.4849066497880004,-0.3818183383880899,,,,,,,,,,,-0.005847953216374324
1872-09-01,-2.8372619325822166,-2.8552804380848946,-2.4609534087655076,-0.3763085238167089,,,,,,,,,,,-0.0117647058823529
1872-10-01,-2.829979143107269,-2.8259468795793303,-2.4590859501662576,-0.3708931929410114,,,,,,,,,,,-0.017857142857142794
