date,ff_Mkt_RF,ff_SMB,ff_HML,ff_RMW,ff_CMA,ff_RF,ff_Mom,wg_dp,wg_dy,wg_ep,wg_de,wg_bm,wg_ntis,wg_tbl,wg_lty,wg_ltr,wg_infl,wg_svar,wg_dfy,wg_dfr,wg_tms,wg_mkt_lag1,jkp_accruals,jkp_debt_issuance,jkp_investment,jkp_low_leverage,jkp_low_risk,jkp_momentum,jkp_profit_growth,jkp_profitability,jkp_quality,jkp_seasonality,jkp_short_term_reversal,jkp_size,jkp_value
1961-07-01,,,,,,,0.0022,-3.534968467480539,-3.5026977828997445,-3.0903326993017153,-0.444635768178824,0.5244056311,0.0251796276,0.0224,0.0404,0.0035,0.0067114094,0.0006283737,0.0068000000000000005,0.0005,0.018,-0.028846153846153855,0.007699227241555,-0.0014680712808276,0.004142672773474,-0.0010475588420942,0.0113816393769198,-0.0045702311642149,0.0046287145633123,0.0034473289717899,0.0041743879663042,0.0005152391066551,0.004859306357965,-0.0055330222298353,0.0045169313618781
1961-08-01,,,,,,,0.016399999999999998,-3.5510163375310713,-3.5315838488648454,-3.1075941344835956,-0.4434222030474758,0.5137928161,0.0254259102,0.0239,0.041,-0.0038,-0.0033333333,0.0004062151,0.006600000000000002,0.002,0.0171,0.03279702970297027,-0.0037223659853339,-0.0012064720157067,-0.0087658929125226,-0.0036985732477426,0.0124197275267113,0.0137927332007139,0.0037134010337391,0.015717336555345,0.0215402082712732,0.0067513018033247,0.0004597528633639,-0.0118958171655753,-0.0104736654004789
1961-09-01,,,,,,,0.0079,-3.5277101536730893,-3.5475921142174345,-3.085513036296195,-0.4421971173768945,0.5275167211,0.0249633869,0.0228,0.0403,0.0129,0.0033444816,0.0008224996,0.0067000000000000046,0.0014999999999999996,0.0175,0.019622528460155664,0.0028851442279384,-0.0018527989597892,-0.0120366650548611,-0.0069082322089359,0.030489493667106,0.0141358709083327,0.0119455466076155,0.0215202057205771,0.0235862311009234,0.0095429173741616,-0.0017738564885053,0.001849945307888,-0.0002298747864447
1961-10-01,,,,,,,0.030699999999999998,-3.54548719272386,-3.5175577822090713,-3.098247009067953,-0.44724018365590723,0.5254858507,0.0258359089,0.023,0.04,0.0071,0.0,0.0002675088,0.007099999999999995,0.005599999999999999,0.017,-0.01968561774643729,0.0260574587829552,0.0078800808509038,0.0040765601839878,0.005091118828591,0.0206155965516431,0.0183182640884792,0.0163755538136321,0.0116698148413305,0.0307120453721624,0.0064584860410629,-0.0005421546476362,-0.0065336076609205,0.0031675813935378
1961-11-01,,,,,,,0.0134,-3.5740296124349937,-3.5354368568703585,-3.121903589527781,-0.45212602290721293,0.5126108647,0.0255706129,0.0248,0.0404,-0.002,0.0,0.0003603902,0.007199999999999998,0.0048000000000000004,0.0156,0.02832309306159142,-0.0041475228943786,-0.0026279467305354,-0.0052575505194724,-0.0026544679555551,-0.0031775771074692,0.0067879312990529,0.0039393310049711,0.0040761204262854,0.0092945852331443,0.0013961059498256,-0.0040812711606567,0.0037810689042365,-0.0036723208271204
1961-12-01,,,,,,,-0.0218,-3.567298994589347,-3.564079281581826,-3.110375589205707,-0.45692340538363985,0.5059222584,0.0223242879,0.026,0.0415,-0.0125,0.0,0.0003369015,0.0067999999999999935,0.0099,0.015500000000000003,0.039347129116875434,0.009414844469193,0.0031249805862844,0.0150960110669693,-0.0014191500747279,-0.0120191567938651,-0.037274030834132,-0.0027745458712376,-0.0210349890667752,-0.0247471039708621,0.0020146534081786,0.0051926207076111,0.0064035211840448,0.0239217059747526
1962-01-01,,,,,,,-0.0204,-3.525376116800208,-3.5639876514593296,-3.053129975001692,-0.47224614179851565,0.5284285714,0.0247213553,0.0272,0.0419,-0.0014,0.0,0.0008115307,0.006599999999999995,0.0094,0.014700000000000001,0.0032249018508132554,0.0171108423870863,0.007485837237679,0.0321680849992997,-0.0062096165275034,-0.0029229306089724,-0.0162005717405374,0.0065828414024205,-0.0248139068357744,-0.0248894789422464,0.0013457436290319,-0.0076703347398398,0.0342938259071893,0.0410813745942873
1962-02-01,,,,,,,-0.01,-3.538263561216242,-3.5221248824091793,-3.0509754607614297,-0.4872881004548125,0.522420733,0.0287833809,0.0273,0.0414,0.0103,0.0033333333,0.0002650967,0.006499999999999999,-0.0051,0.014099999999999998,-0.03787561146051699,-0.005509827604382,-0.0035003277126979,-0.0016166513525232,0.0019742622739159,0.0087082774285515,0.0057028505264928,0.0017309789686462,0.0009081663930427,-0.0013833977882219,-0.0013060288782848,0.0061794824019181,0.0012348254345594,0.0033041409411094
1962-03-01,,,,,,,0.0189,-3.5290961105133265,-3.534973842294276,-3.027133174005181,-0.5019629365081454,0.5457245916,0.0240753041,0.0272,0.0398,0.0253,0.0,0.0002794921,0.006499999999999999,-0.010199999999999999,0.012600000000000004,0.01626961069145838,0.0056448904158832,-0.0044046302320388,-0.001224539127974,-0.0040449568684418,0.0132151122322683,0.0109916474535637,0.0009013159522194,4.49840880544e-05,0.0060497909369682,-0.0017085736026088,0.0027644652622343,0.0011748783043953,-0.0012187049515559
1962-04-01,,,,,,,0.0294,-3.461844037749546,-3.525817178366185,-2.9533272286116077,-0.5085168091379386,0.5798626246,0.0251520924,0.0273,0.0394,0.0082,0.0033222591,0.0010196908,0.006900000000000003,0.006,0.012099999999999996,-0.005860491709548277,0.0054043332024242,-0.0001562327892878,0.0119039927220315,-0.0074951876735533,0.026773922514396,0.0124519692323848,0.0044199156867922,0.003554588077056,0.001815040018061,-0.0001136353751192,0.0040005671851032,0.0016286715763841,0.0137870434010947
1962-05-01,,,,,,,0.0046,-3.3687105481556987,-3.458624522773497,-2.8536470945002463,-0.5150634536554524,0.6289943915,0.0277223552,0.0269,0.0393,0.0046,0.0,0.0109148391,0.007200000000000005,-0.0046,0.012400000000000001,-0.06196980589503953,0.0182678388467724,0.0105821107464915,0.035898079262789,-0.0111968966174551,0.0172685745189401,-0.0060726905343337,-0.0045888156305487,-0.013932680170227,-0.0097750694586176,-0.0008343774912367,0.0150823217423915,0.0089686544943791,0.0489448232326479
1962-06-01,,,,,,,0.064,-3.2800713858951203,-3.3654528203335246,-2.7586227747378422,-0.5214486111572781,0.6873574686,0.0264554418,0.0273,0.0401,-0.0076,0.0,0.0061611302,0.007400000000000004,0.005,0.012799999999999995,-0.08599019006744313,0.0191358325599227,0.0020419520411808,0.0170785770815112,-0.0156480556345467,0.0215619329426758,0.0515622412377598,0.0191330764118033,-0.0010113410195533,-0.0093383643980244,0.001013665077575,0.0088779952819834,0.0025652010247241,0.0248520572476858
1962-07-01,,,,,,,0.0051,-3.3384475535639053,-3.2768242364114872,-2.814498949634692,-0.523948603929213,0.6452260298,0.0304859039,0.0292,0.0412,-0.0109,0.0033112583,0.0018434772,0.007100000000000002,0.0094,0.012,-0.08183800100620497,-0.0048131187866845,-0.0038299936470247,-0.0200697135052563,0.0077502282933269,-0.0272539553620318,-0.0083795977092507,0.00845242240752,0.0113991250725622,0.0013169572835652,-0.0032194747751698,0.00370324819041,-0.0039357273916781,-0.0197261221889522
1962-08-01,,,,,,,-0.005699999999999999,-3.3504277358566252,-3.3352591450657068,-2.8239532391621722,-0.5264744966944529,0.6333103516,0.0293287512,0.0282,0.0401,0.0187,0.0,0.0008019519,0.007100000000000002,-0.004400000000000001,0.011899999999999997,0.06356164383561635,-0.0073561986681255,-0.0041188925107903,-0.0056990116041597,-0.0042805056655112,-0.0090384225575154,-0.0082571133311362,-0.0015660046224109,-0.0043650096069761,-0.0092916168067489,0.0027606131930287,0.0028776678786098,0.0086082479364586,-0.00113269323671
1962-09-01,,,,,,,0.039599999999999996,-3.2977936397319607,-3.34720138292672,-2.7688636624999816,-0.5289299772319788,0.6663442606,0.0306016141,0.0278,0.0398,0.0061,0.00330033,0.0011769981,0.007099999999999995,0.0027999999999999995,0.012000000000000004,0.015284217757169927,0.0064816943939967,0.0002754426484894,0.0079650920827109,-0.0057084025789151,0.0386333717164321,0.0237297064223615,0.007095287044844,0.0013920464023161,-0.00222245441935,-0.0029760357330356,0.0198144668833548,-0.0047348331424166,0.0064231332168721
1962-10-01,,,,,,,0.0079,-3.294229877647271,-3.2897968532761315,-2.760153970220765,-0.5340759074265059,0.654153314,0.0280945039,0.0274,0.0395,0.0084,0.0,0.0034521082,0.007100000000000002,-0.0015999999999999999,0.0121,-0.04820703653585923,0.0079743265813253,0.0041189304662283,0.013438614711343,-0.0023343347791822,0.0180790790756571,0.0044851436132674,-0.002058623097867,0.0045270884260382,-0.0006990616538469,-0.0026431221765724,0.0013605650632953,-0.0271609839668357,0.0039966709592534
