Date,ES=F,^AEX,^AXJO,^FCHI,^FTSE,^GDAXI,^GSPTSE,^IBEX,^N225,^OMX,^SSMI,^STOXX50E,^TNX
1995-01-02,,189.3134307861328,,,,,,,,,,,
1995-01-03,,189.14552307128906,1849.0999755859375,1885.9000244140625,,,,,,,2612.300048828125,,7.876999855041504
1995-01-04,,189.39964294433594,1830.0,1901.800048828125,,,,,,,2632.39990234375,,7.813000202178955
1995-01-05,,188.1744384765625,1814.800048828125,1871.5,,,,,,,2613.10009765625,,7.868000030517578
1995-01-06,,188.39678955078125,1813.300048828125,1886.4000244140625,,,,,,,2622.300048828125,,7.849999904632568
1995-01-09,,188.12451171875,1805.4000244140625,1864.199951171875,,,,,,,2617.300048828125,,7.881999969482422
1995-01-10,,187.3939208984375,1804.0999755859375,1859.199951171875,,,,,,,2600.39990234375,,7.822000026702881
1995-01-11,,186.8357696533203,1808.300048828125,1849.0999755859375,,,,,,,2597.0,,7.776000022888184
1995-01-12,,186.24131774902344,1810.9000244140625,1844.0999755859375,,,,,,,2600.5,,7.794000148773193
1995-01-13,,187.235107421875,1806.5,1854.0,,,,,,,2600.199951171875,,7.679999828338623
1995-01-16,,188.49208068847656,1827.800048828125,1872.800048828125,,,,,,,2591.60009765625,,7.679999828338623
1995-01-17,,187.81594848632812,1829.5,1856.9000244140625,,,,,,,2582.800048828125,,7.684000015258789
1995-01-18,,188.070068359375,1838.199951171875,1860.300048828125,,,,,,,2593.60009765625,,7.697999954223633
1995-01-19,,187.6435089111328,1844.0999755859375,1837.0999755859375,,,,,,,2595.5,,7.716000080108643
1995-01-20,,186.39561462402344,1827.0,1813.300048828125,,,,,,,2574.60009765625,,7.808000087738037
1995-01-23,,183.80450439453125,1810.699951171875,1772.800048828125,,,,,,,2525.300048828125,,7.822000026702881
1995-01-24,,184.92535400390625,1813.4000244140625,1780.199951171875,,,,,,,2534.800048828125,,7.84499979019165
1995-01-25,,184.730224609375,1802.199951171875,1802.5,,,,,,,2525.5,,7.784999847412109
1995-01-26,,186.38198852539062,,1826.300048828125,,,,,,,2554.699951171875,,7.743000030517578
1995-01-27,,187.1670379638672,1814.800048828125,1814.0999755859375,,,,,,,2548.60009765625,,7.616000175476074
1995-01-30,,186.89022827148438,1810.699951171875,1813.4000244140625,,,,,,,2540.199951171875,,7.633999824523926
1995-01-31,,185.19308471679688,1784.699951171875,1797.9000244140625,,,,,,,2536.89990234375,,7.5929999351501465
1995-02-01,,186.21409606933594,1789.699951171875,1827.800048828125,,,,,,,2560.800048828125,,7.638000011444092
1995-02-02,,185.77845764160156,1814.4000244140625,1816.0999755859375,,,,,,,2563.699951171875,,7.670000076293945
1995-02-03,,187.20333862304688,1805.4000244140625,1842.4000244140625,,,,,,,2589.39990234375,,7.456999778747559
1995-02-06,,187.6026611328125,1821.4000244140625,1872.0999755859375,,,,,,,2621.39990234375,,7.506999969482422
1995-02-07,,187.9248504638672,1803.699951171875,1870.4000244140625,,,,,,,2628.0,,7.511000156402588
1995-02-08,,187.652587890625,1782.300048828125,1850.9000244140625,,,,,,,2617.39990234375,,7.511000156402588
1995-02-09,,188.16989135742188,1792.5999755859375,1874.4000244140625,,,,,,,2636.89990234375,,7.572000026702881
1995-02-10,,188.6100616455078,1805.0999755859375,1869.4000244140625,,,,,,,2635.39990234375,,7.618000030517578
1995-02-13,,188.20619201660156,1805.5999755859375,1850.0999755859375,,,,,,,2636.0,,7.59499979019165
1995-02-14,,187.8522491455078,1793.5999755859375,1856.0999755859375,,,,,,,2642.39990234375,,7.504000186920166
1995-02-15,,187.53460693359375,1802.4000244140625,1861.9000244140625,,,,,,,2636.0,,7.441999912261963
1995-02-16,,186.09156799316406,1821.300048828125,1835.0,,,,,,,2621.0,,7.388000011444092
1995-02-17,,186.48182678222656,1817.0999755859375,1822.5,,,,,,,2601.0,,7.419000148773193
1995-02-20,,186.06434631347656,1813.5999755859375,1802.199951171875,,,,,,,2597.199951171875,,
1995-02-21,,186.10519409179688,1817.4000244140625,1805.5999755859375,,,,,,,2609.60009765625,,7.432000160217285
1995-02-22,,185.35191345214844,1841.199951171875,1804.4000244140625,,,,,,,2610.0,,7.321000099182129
1995-02-23,,186.7132568359375,1855.4000244140625,1827.0,,,,,,,2632.10009765625,,7.329999923706055
1995-02-24,,186.322998046875,1872.199951171875,1805.699951171875,,,,,,,2623.300048828125,,7.324999809265137
1995-02-27,,185.7830047607422,1853.800048828125,1802.199951171875,,,,,,,2607.5,,7.236000061035156
1995-02-28,,185.0342559814453,1881.0999755859375,1776.9000244140625,,,,,,,2600.39990234375,,7.210000038146973
1995-03-01,,185.36097717285156,1878.0999755859375,1808.4000244140625,,,,,,,2619.199951171875,,7.214000225067139
1995-03-02,,185.65594482421875,1876.9000244140625,1807.4000244140625,,,,,,,2617.199951171875,,7.289000034332275
1995-03-03,,184.05409240722656,1862.5,1795.199951171875,,,,,,,2586.5,,7.355999946594238
1995-03-06,,182.4749298095703,1851.0999755859375,1773.300048828125,,,,,,,2553.199951171875,,7.400000095367432
1995-03-07,,180.94114685058594,1850.4000244140625,1748.5999755859375,,,,,,,2543.10009765625,,7.431000232696533
1995-03-08,,179.6932373046875,1840.800048828125,1756.800048828125,,,,,,,2515.800048828125,,7.355000019073486
1995-03-09,,178.204833984375,1835.199951171875,1727.0999755859375,,,,,,,2461.5,,7.28000020980835
1995-03-10,,178.63592529296875,1827.0999755859375,1743.0999755859375,,,,,,,2467.699951171875,,7.2179999351501465
1995-03-13,,178.48617553710938,1843.300048828125,1721.800048828125,,,,,,,2450.300048828125,,7.173999786376953
1995-03-14,,179.15777587890625,1843.5999755859375,1769.0,,,,,,,2463.300048828125,,7.077000141143799
1995-03-15,,179.11239624023438,1863.4000244140625,1738.5999755859375,,,,,,,2475.0,,7.077000141143799
1995-03-16,,178.3500518798828,1868.199951171875,1785.800048828125,,,,,,,2491.699951171875,,7.038000106811523
1995-03-17,,178.2456817626953,1880.0,1788.800048828125,,,,,,,2497.5,,7.103000164031982
1995-03-20,,179.1850128173828,1864.0,1811.5999755859375,,,,,,,2516.0,,7.111999988555908
1995-03-21,,178.95811462402344,1874.5,1813.800048828125,,,,,,,2505.5,,7.151000022888184
1995-03-22,,178.2729034423828,1852.0999755859375,1818.0,,,,,,,2501.89990234375,,7.195000171661377
1995-03-23,,176.21726989746094,1851.300048828125,1795.699951171875,,,,,,,2480.699951171875,,7.203000068664551
1995-03-24,,177.4561004638672,1857.5,1817.300048828125,,,,,,,2526.60009765625,,7.085000038146973
1995-03-27,,178.44534301757812,1869.699951171875,1836.0999755859375,,,,,,,2518.10009765625,,7.0320000648498535
1995-03-28,,178.23207092285156,1861.300048828125,1837.199951171875,,,,,,,2495.60009765625,,7.140999794006348
1995-03-29,,178.38180541992188,1855.4000244140625,1852.4000244140625,,,,,,,2495.0,,7.140999794006348
1995-03-30,,181.49929809570312,1847.199951171875,1893.0,,,,,,,2533.10009765625,,7.158999919891357
1995-03-31,,178.5179443359375,1867.0999755859375,1859.5,,,,,,,2508.89990234375,,7.189000129699707
1995-04-03,,178.9172821044922,1859.0999755859375,1864.0,,,,,,,2511.10009765625,,7.131999969482422
1995-04-04,,180.06533813476562,1896.300048828125,1882.800048828125,,,,,,,2536.199951171875,,7.105999946594238
1995-04-05,,180.5281982421875,1940.9000244140625,1872.9000244140625,,,,,,,2536.300048828125,,7.105999946594238
1995-04-06,,181.6127471923828,1939.0999755859375,1890.199951171875,,,,,,,2556.10009765625,,7.074999809265137
1995-04-07,,183.30081176757812,1943.5999755859375,1900.4000244140625,,,,,,,2559.300048828125,,7.0920000076293945
1995-04-10,,183.45509338378906,1943.4000244140625,1880.9000244140625,,,,,,,2561.199951171875,,7.0960001945495605
1995-04-11,,183.34165954589844,1953.699951171875,1869.300048828125,,,,,,,2563.10009765625,,7.073999881744385
1995-04-12,,183.7545928955078,1971.5999755859375,1871.9000244140625,,,,,,,2562.39990234375,,7.047999858856201
1995-04-13,,184.5033416748047,1980.5999755859375,1881.0999755859375,,,,,,,2560.300048828125,,7.0
1995-04-17,,,,,,,,,,,,,7.020999908447266
1995-04-18,,183.99510192871094,2000.199951171875,1855.699951171875,,,,,,,2547.10009765625,,7.020999908447266
1995-04-19,,183.48233032226562,1999.5,1874.9000244140625,,,,,,,2516.800048828125,,7.033999919891357
1995-04-20,,184.2083740234375,1984.0,1882.0,,,,,,,2544.199951171875,,6.999000072479248
1995-04-21,,185.33375549316406,1957.9000244140625,1928.4000244140625,,,,,,,2560.800048828125,,6.99399995803833
1995-04-24,,185.4199676513672,1955.0999755859375,1918.5,,,,,,,2554.800048828125,,6.986000061035156
1995-04-25,,185.70132446289062,,1945.9000244140625,,,,,,,2561.10009765625,,6.986000061035156
1995-04-26,,187.77056884765625,1965.199951171875,1942.300048828125,,,,,,,2574.39990234375,,6.99399995803833
1995-04-27,,188.56468200683594,1989.0,1931.0,,,,,,,2567.0,,7.025000095367432
1995-04-28,,189.1772918701172,2006.5,1918.5,,,,,,,2597.199951171875,,7.046000003814697
1995-05-01,,190.77914428710938,1997.4000244140625,,,,,,,,,,7.072000026702881
1995-05-02,,191.72300720214844,1983.300048828125,1936.9000244140625,,,,,,,2621.39990234375,,7.02400016784668
1995-05-03,,192.53982543945312,1995.800048828125,1971.0999755859375,,,,,,,2618.60009765625,,6.940999984741211
1995-05-04,,192.76670837402344,2024.5,1946.199951171875,,,,,,,2641.699951171875,,6.833000183105469
1995-05-05,,,2024.4000244140625,1927.4000244140625,,,,,,,2650.5,,6.665999889373779
